time	altitude	bearing	depression	uaveast	heading	uavnorth	pitch	roll	horizfov	vertfov	sensortype	dayornight	azimerr	eleverr	orleft	orright	ortop	orbottom
[sec]	[feet]	[deg]	[deg]	[meter]	[deg]	[meter]	[deg]	[deg]	[deg]	[deg]	[int]	[int]	[pixel]	[pixel]	[pixel]	[pixel]
1564103484.7007	73.35	0	0	34.910999	35.28	32.113653	-1.78	-1.55	106	79.5	0	1	0	0	0	0	0	0
1564103484.734	73.35	0	0	34.910999	35.28	32.113653	-1.78	-1.55	106	79.5	0	1	0	0	0	0	0	0
1564103484.7673	73.35	0	0	34.910999	35.28	32.113653	-1.8	-1.67	106	79.5	0	1	0	0	0	0	0	0
1564103484.8007	73.35	0	0	34.910999	35.28	32.113653	-1.8	-1.67	106	79.5	0	1	0	0	0	0	0	0
1564103484.834	73.36	0	0	34.910999	35.52	32.113653	-1.8	-1.67	106	79.5	0	1	0	0	0	0	0	0
1564103484.8673	73.36	0	0	34.910999	35.52	32.113653	-1.67	-1.57	106	79.5	0	1	0	0	0	0	0	0
1564103484.9007	73.36	0	0	34.910999	35.52	32.113653	-1.67	-1.57	106	79.5	0	1	0	0	0	0	0	0
1564103484.934	73.36	0	0	34.910999	35.01	32.113653	-1.67	-1.57	106	79.5	0	1	0	0	0	0	0	0
1564103484.9673	73.36	0	0	34.910999	35.01	32.113653	-1.47	-1.37	106	79.5	0	1	0	0	0	0	0	0
1564103485.0007	73.36	0	0	34.910999	35.01	32.113653	-1.47	-1.37	106	79.5	0	1	0	0	0	0	0	0
1564103485.034	73.36	0	0	34.910999	34.49	32.113653	-1.47	-1.37	106	79.5	0	1	0	0	0	0	0	0
1564103485.0673	73.36	0	0	34.910999	34.49	32.113653	-1.24	-1.11	106	79.5	0	1	0	0	0	0	0	0
1564103485.1007	73.36	0	0	34.910999	34.49	32.113653	-1.24	-1.11	106	79.5	0	1	0	0	0	0	0	0
